g,geracao,p,peso,v,valor,f,fitness
G:,393,peso:,17335,valor:,21281,fitness:,21281
G:,394,peso:,17335,valor:,21281,fitness:,21281
G:,395,peso:,17335,valor:,21281,fitness:,21281
G:,396,peso:,17335,valor:,21281,fitness:,21281
G:,397,peso:,17335,valor:,21281,fitness:,21281
G:,398,peso:,17335,valor:,21281,fitness:,21281
G:,399,peso:,17335,valor:,21281,fitness:,21281
G:,400,peso:,17335,valor:,21281,fitness:,21281
G:,401,peso:,17335,valor:,21281,fitness:,21281
G:,402,peso:,17335,valor:,21281,fitness:,21281
G:,403,peso:,17335,valor:,21281,fitness:,21281
G:,404,peso:,17335,valor:,21281,fitness:,21281
G:,405,peso:,17335,valor:,21281,fitness:,21281
G:,406,peso:,17335,valor:,21281,fitness:,21281
G:,407,peso:,17335,valor:,21281,fitness:,21281
G:,408,peso:,17335,valor:,21281,fitness:,21281
G:,409,peso:,17335,valor:,21281,fitness:,21281
G:,410,peso:,17335,valor:,21281,fitness:,21281
G:,411,peso:,17335,valor:,21281,fitness:,21281
G:,412,peso:,17335,valor:,21281,fitness:,21281
G:,413,peso:,17335,valor:,21281,fitness:,21281
G:,414,peso:,17335,valor:,21281,fitness:,21281
G:,415,peso:,17335,valor:,21281,fitness:,21281
G:,416,peso:,17335,valor:,21281,fitness:,21281
G:,417,peso:,17335,valor:,21281,fitness:,21281
G:,418,peso:,17335,valor:,21281,fitness:,21281
G:,419,peso:,17335,valor:,21281,fitness:,21281
G:,420,peso:,17335,valor:,21281,fitness:,21281
G:,421,peso:,17335,valor:,21281,fitness:,21281
G:,422,peso:,17335,valor:,21281,fitness:,21281
G:,423,peso:,17335,valor:,21281,fitness:,21281
G:,424,peso:,17335,valor:,21281,fitness:,21281
G:,425,peso:,17335,valor:,21281,fitness:,21281
G:,426,peso:,17335,valor:,21281,fitness:,21281
G:,427,peso:,17335,valor:,21281,fitness:,21281
G:,428,peso:,17335,valor:,21281,fitness:,21281
G:,429,peso:,17335,valor:,21281,fitness:,21281
G:,430,peso:,17335,valor:,21281,fitness:,21281
G:,431,peso:,17335,valor:,21281,fitness:,21281
G:,432,peso:,17335,valor:,21281,fitness:,21281
G:,433,peso:,17335,valor:,21281,fitness:,21281
G:,434,peso:,17335,valor:,21281,fitness:,21281
G:,435,peso:,17335,valor:,21281,fitness:,21281
G:,436,peso:,17335,valor:,21281,fitness:,21281
G:,437,peso:,17335,valor:,21281,fitness:,21281
G:,438,peso:,17335,valor:,21281,fitness:,21281
G:,439,peso:,17335,valor:,21281,fitness:,21281
G:,440,peso:,17335,valor:,21281,fitness:,21281
G:,441,peso:,17335,valor:,21281,fitness:,21281
G:,442,peso:,17335,valor:,21281,fitness:,21281
G:,443,peso:,17335,valor:,21281,fitness:,21281
G:,444,peso:,17335,valor:,21281,fitness:,21281
G:,445,peso:,17335,valor:,21281,fitness:,21281
G:,446,peso:,17335,valor:,21281,fitness:,21281
G:,447,peso:,17335,valor:,21281,fitness:,21281
G:,448,peso:,17335,valor:,21281,fitness:,21281
G:,449,peso:,17335,valor:,21281,fitness:,21281
G:,450,peso:,17300,valor:,21293,fitness:,21293
G:,451,peso:,17300,valor:,21293,fitness:,21293
G:,452,peso:,17300,valor:,21293,fitness:,21293
G:,453,peso:,17300,valor:,21293,fitness:,21293
G:,454,peso:,17300,valor:,21293,fitness:,21293
G:,455,peso:,17300,valor:,21293,fitness:,21293
G:,456,peso:,17300,valor:,21293,fitness:,21293
G:,457,peso:,17300,valor:,21293,fitness:,21293
G:,458,peso:,17300,valor:,21293,fitness:,21293
G:,459,peso:,17300,valor:,21293,fitness:,21293
G:,460,peso:,17297,valor:,21311,fitness:,21311
G:,461,peso:,17297,valor:,21311,fitness:,21311
